epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.4746,1.86394,1.90956,1.07997,0.31449,0.2515,0.19931,0.09277,1.93809,1.28536,0.99253,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,137.087,1.76615,1.37322,1.0011,0.33758,0.28174,0.22744,0.11877,1.66763,1.27974,0.93918,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,183.769,1.78085,1.36834,1.0056,0.33467,0.26784,0.22292,0.10703,1.82801,1.28513,0.97562,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,227.623,1.77838,1.35267,0.99892,0.35962,0.26725,0.23357,0.12473,1.61427,1.2221,0.94293,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,271.494,1.74819,1.30001,0.99383,0.38126,0.29323,0.25867,0.13425,1.67804,1.19799,0.94904,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,315.41,1.71078,1.26268,0.979,0.3828,0.31193,0.26995,0.13888,1.62186,1.16419,0.93628,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,359.387,1.68973,1.23913,0.97631,0.38689,0.31193,0.27366,0.14761,1.59713,1.14109,0.93171,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,403.476,1.66871,1.21644,0.96977,0.40903,0.32063,0.28293,0.15023,1.61207,1.12824,0.93089,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,447.464,1.6559,1.20024,0.96402,0.41515,0.32007,0.29323,0.15719,1.60225,1.10678,0.92669,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,491.196,1.6394,1.18418,0.96563,0.43046,0.32833,0.30125,0.16279,1.57743,1.08786,0.92387,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
