epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.5632,2.09305,2.72707,1.12571,0.27522,0.13133,0.09532,0.03918,2.25678,1.83336,1.08802,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691
2,102.501,1.98011,1.70928,1.05186,0.24523,0.18849,0.12636,0.06146,1.93864,1.54007,0.99359,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441
3,142.489,1.96054,1.64044,1.04479,0.21675,0.17405,0.10273,0.04636,2.15032,2.1272,1.06298,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859
4,178.569,1.95125,1.58927,1.0401,0.27464,0.21104,0.15281,0.07751,1.85723,1.41402,0.98564,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,215.073,1.91005,1.5268,1.02944,0.31429,0.22051,0.18333,0.09234,1.77964,1.36267,0.97505,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,251.401,1.85769,1.46136,1.01229,0.34537,0.23741,0.18756,0.09384,1.80182,1.34285,0.97678,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,287.752,1.83998,1.43664,1.01104,0.31228,0.26288,0.20473,0.09773,1.87354,1.30069,0.99358,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,324.032,1.8104,1.39916,1.00331,0.33944,0.25299,0.21035,0.10507,1.75654,1.29011,0.96183,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,360.391,1.79636,1.3749,0.9953,0.33251,0.2602,0.21958,0.1142,1.69038,1.24382,0.95107,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,396.188,1.78901,1.36453,0.99549,0.33585,0.26518,0.22477,0.11294,1.78281,1.24308,0.96244,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,432.069,1.77818,1.34413,0.98868,0.36166,0.26202,0.22383,0.10962,1.85605,1.25337,0.97709,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,467.914,1.75674,1.32383,0.98583,0.35021,0.27534,0.23535,0.12278,1.69256,1.20545,0.95521,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,504.208,1.75948,1.31885,0.9855,0.35345,0.26613,0.22871,0.1154,1.71569,1.24226,0.95353,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,540.071,1.74749,1.30849,0.98326,0.36514,0.29284,0.24837,0.12684,1.69891,1.18861,0.9491,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,576.204,1.73121,1.29235,0.97835,0.33913,0.28999,0.23886,0.12214,1.70982,1.22909,0.95047,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,612.462,1.73479,1.2884,0.97905,0.36396,0.29677,0.25369,0.12878,1.69234,1.1697,0.94396,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,648.681,1.72126,1.27452,0.97646,0.37388,0.29038,0.24993,0.13275,1.64909,1.16915,0.93842,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,684.426,1.70469,1.26027,0.97372,0.38275,0.29065,0.25955,0.13746,1.65171,1.17515,0.93956,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,720.844,1.70789,1.25925,0.97199,0.3839,0.29973,0.26077,0.1356,1.66541,1.15934,0.93968,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,756.956,1.69726,1.24583,0.97013,0.3846,0.30375,0.26243,0.13612,1.65812,1.15262,0.93691,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,793.091,1.69233,1.24328,0.96751,0.40669,0.29259,0.26557,0.14182,1.63014,1.13665,0.93267,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,829.206,1.68292,1.23585,0.96651,0.38279,0.2997,0.26088,0.137,1.62767,1.14612,0.93261,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,865.296,1.68835,1.24156,0.96718,0.38427,0.30332,0.26656,0.14224,1.61015,1.13733,0.92836,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,901.186,1.68292,1.22984,0.96431,0.39819,0.29934,0.26702,0.14191,1.6012,1.13652,0.92951,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,937.693,1.67835,1.22207,0.96334,0.38534,0.2997,0.26377,0.14205,1.58305,1.13323,0.9235,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,973.476,1.66385,1.2113,0.96138,0.41258,0.29961,0.27063,0.14263,1.61511,1.12581,0.93012,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
