epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.7795,2.05034,2.4011,1.1531,0.22425,0.19718,0.13033,0.05592,2.17798,1.47998,1.06246,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691
2,120.52,1.93358,1.5705,1.04641,0.24235,0.22665,0.16014,0.07868,1.88827,1.59736,0.99294,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441
3,163.421,1.93234,1.56058,1.04118,0.25866,0.20334,0.14175,0.06962,1.84988,1.53455,0.99088,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859
4,205.547,1.93069,1.53438,1.03719,0.26621,0.22441,0.15968,0.08301,1.78807,1.40747,0.98034,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,249.121,1.89989,1.47912,1.02987,0.28885,0.23364,0.17827,0.08898,1.77671,1.35019,0.97311,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,291.368,1.84759,1.42175,1.01245,0.32072,0.24232,0.1921,0.09601,1.77611,1.31806,0.97312,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,335.892,1.83353,1.40528,1.01212,0.32695,0.24763,0.20206,0.09423,1.92435,1.30647,1.0016,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,381.288,1.8063,1.37317,1.00406,0.34272,0.26572,0.22057,0.11391,1.71363,1.22765,0.95677,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,427.009,1.79304,1.35132,0.99547,0.34829,0.26898,0.22741,0.11831,1.69771,1.2216,0.95571,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,472.366,1.78526,1.34316,0.99667,0.34493,0.25458,0.21803,0.11332,1.70396,1.24341,0.95177,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,517.477,1.77123,1.32325,0.98864,0.3751,0.26744,0.23819,0.12367,1.69598,1.1936,0.94907,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,559.693,1.75158,1.30789,0.98571,0.35998,0.27517,0.23832,0.1261,1.66972,1.19055,0.94876,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,602.069,1.75244,1.30116,0.98469,0.36427,0.27682,0.24144,0.12393,1.70683,1.19071,0.95268,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,644.003,1.74179,1.28897,0.98343,0.36421,0.28705,0.24853,0.13058,1.65985,1.17193,0.94365,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,686.426,1.72632,1.27631,0.97833,0.35077,0.2861,0.24151,0.12561,1.67404,1.19567,0.95082,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,728.473,1.72624,1.27299,0.9781,0.38453,0.28985,0.25297,0.13096,1.63723,1.15025,0.93593,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,770.728,1.71523,1.26139,0.97661,0.38162,0.29618,0.25977,0.13754,1.61532,1.13096,0.93563,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,812.752,1.6962,1.24565,0.97215,0.37818,0.29111,0.2616,0.13738,1.6425,1.15479,0.93558,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,855.113,1.70199,1.24616,0.97147,0.3838,0.29224,0.26132,0.14031,1.61547,1.14071,0.93263,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,897.331,1.69006,1.23538,0.9698,0.39993,0.30628,0.26869,0.14049,1.63315,1.13167,0.93237,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,939.458,1.68363,1.22935,0.96716,0.40731,0.29511,0.26561,0.14348,1.58135,1.1266,0.92615,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,981.418,1.67505,1.22249,0.96684,0.38828,0.29677,0.2644,0.14004,1.59583,1.13358,0.92866,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1023.77,1.68068,1.2308,0.96621,0.38555,0.30561,0.27086,0.14605,1.57061,1.11251,0.92327,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1065.83,1.67572,1.21691,0.96342,0.37955,0.30825,0.26867,0.14512,1.59163,1.11822,0.92498,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1108.58,1.66744,1.20631,0.9621,0.39152,0.30819,0.27068,0.14512,1.58432,1.12955,0.92467,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1150.68,1.65649,1.19908,0.96105,0.41026,0.30105,0.27028,0.13984,1.64381,1.12817,0.93803,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1192.89,1.66335,1.20219,0.96155,0.40282,0.31188,0.28047,0.15064,1.56119,1.10161,0.91857,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1235.36,1.65518,1.19557,0.95824,0.39494,0.30705,0.27563,0.14833,1.55026,1.09644,0.92054,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1277.58,1.66955,1.20057,0.95872,0.41056,0.30821,0.2773,0.14696,1.58838,1.09927,0.92213,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1319.56,1.64588,1.18906,0.95823,0.41185,0.31223,0.28174,0.15203,1.55409,1.08702,0.91762,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1361.89,1.64259,1.17998,0.95728,0.41207,0.31002,0.28116,0.15075,1.5536,1.08573,0.9189,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1403.93,1.64744,1.18196,0.95636,0.41794,0.31221,0.28474,0.15415,1.54521,1.08372,0.91565,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1446.21,1.6379,1.17924,0.95645,0.42844,0.30609,0.28599,0.15384,1.56111,1.08343,0.91903,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1488.2,1.63776,1.17181,0.95429,0.43179,0.31627,0.29106,0.15249,1.60265,1.07935,0.92305,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1530.66,1.63576,1.17123,0.95424,0.41697,0.31419,0.28734,0.15658,1.54334,1.07762,0.91535,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1572.62,1.62894,1.16585,0.95187,0.42181,0.318,0.29053,0.15724,1.5272,1.06494,0.9119,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1615.01,1.62505,1.15717,0.95223,0.43111,0.31344,0.29257,0.15726,1.55903,1.07014,0.91872,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1657.08,1.6151,1.15213,0.95043,0.41978,0.32411,0.29458,0.15945,1.53836,1.06473,0.91575,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1699.6,1.62692,1.15815,0.94857,0.41949,0.32027,0.29562,0.15941,1.54913,1.06958,0.9156,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1741.62,1.60756,1.1454,0.94829,0.43794,0.327,0.30103,0.1638,1.51384,1.05187,0.90773,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1784.08,1.61881,1.14964,0.94786,0.4216,0.31521,0.29152,0.15683,1.54817,1.06293,0.91444,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1825.91,1.60748,1.14205,0.94737,0.41805,0.32542,0.29257,0.1596,1.50992,1.05399,0.91025,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1868.22,1.6041,1.14081,0.94681,0.43153,0.31542,0.29758,0.16011,1.55104,1.05392,0.91327,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1910.1,1.61434,1.14318,0.94643,0.42949,0.32189,0.29948,0.16349,1.52883,1.05144,0.91333,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1952.25,1.59127,1.12739,0.94811,0.424,0.33078,0.30037,0.16396,1.51189,1.04871,0.90921,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1994.44,1.61625,1.14251,0.94764,0.44279,0.3224,0.30307,0.16485,1.52787,1.05045,0.91069,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2036.64,1.59213,1.12581,0.94507,0.43787,0.32418,0.30176,0.166,1.50537,1.04279,0.90773,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2078.62,1.60094,1.1351,0.94383,0.42369,0.32612,0.3012,0.16391,1.51762,1.04533,0.90796,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2121.05,1.58855,1.12175,0.94226,0.4327,0.32416,0.30119,0.16416,1.51944,1.04637,0.90993,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2163.03,1.59603,1.12219,0.94109,0.43426,0.32709,0.30345,0.16638,1.5064,1.04369,0.90795,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2205.35,1.59409,1.12983,0.94221,0.43857,0.32939,0.30721,0.16808,1.51786,1.03818,0.90679,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2247.2,1.58656,1.11557,0.94042,0.44243,0.33013,0.30637,0.16833,1.49268,1.03331,0.90488,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2289.57,1.5947,1.12437,0.93939,0.43707,0.32701,0.30683,0.16746,1.49896,1.03724,0.90677,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2331.74,1.59008,1.11974,0.94221,0.43375,0.33541,0.30973,0.16975,1.48844,1.02947,0.90377,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2373.97,1.57937,1.11265,0.93977,0.43867,0.33073,0.30751,0.16721,1.51291,1.03055,0.90764,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2416.65,1.58715,1.1153,0.94077,0.42609,0.33862,0.31022,0.16799,1.50107,1.02592,0.90608,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2458.81,1.57725,1.10596,0.94031,0.42633,0.33761,0.31448,0.17228,1.48703,1.02203,0.90386,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2500.94,1.57524,1.10665,0.9379,0.4314,0.33652,0.3109,0.16995,1.49479,1.02476,0.90437,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2543.49,1.57725,1.10541,0.93807,0.4576,0.3301,0.31403,0.17274,1.48596,1.02008,0.90336,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
