epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.114,2.90089,3.08374,2.76242,0.4214,0.14779,0.07657,0.02861,2.37194,1.89271,1.79457,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,208.821,2.14994,2.02452,1.69894,0.17912,0.20253,0.10916,0.04602,2.09579,1.80112,1.53617,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,286.364,2.06297,1.97792,1.5808,0.2469,0.21493,0.14536,0.05891,2.16978,1.89879,1.57302,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,356.6,2.00659,1.90258,1.50098,0.22677,0.26013,0.1575,0.07653,1.87163,1.6711,1.38816,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,426.697,1.9591,1.80778,1.46639,0.28156,0.23568,0.17572,0.08562,1.91463,1.6124,1.38606,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,496.711,1.90943,1.73471,1.41699,0.30122,0.24952,0.18937,0.09326,1.85781,1.52902,1.35212,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,565.639,1.88612,1.6977,1.40275,0.31441,0.2588,0.20342,0.10135,1.83013,1.47297,1.32689,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,635.202,1.86009,1.65772,1.37962,0.34355,0.26446,0.21655,0.1076,1.83641,1.45803,1.32277,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,704.998,1.8461,1.63857,1.35917,0.33071,0.2531,0.22214,0.11385,1.79114,1.43573,1.29083,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,773.896,1.83303,1.62435,1.35134,0.34595,0.28022,0.23493,0.1222,1.7438,1.41108,1.2578,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,844.438,1.8259,1.60655,1.3264,0.37189,0.2731,0.22893,0.12175,1.71046,1.43255,1.23386,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,913.755,1.80489,1.57455,1.31457,0.36519,0.28634,0.23718,0.11862,1.80711,1.41395,1.26745,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,982.981,1.80925,1.57626,1.30456,0.36136,0.29007,0.25073,0.13161,1.70905,1.38924,1.21771,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1052.26,1.78667,1.54529,1.29144,0.3719,0.30354,0.25888,0.13379,1.70183,1.38161,1.20719,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1121.36,1.78191,1.53021,1.27667,0.38683,0.30666,0.268,0.14085,1.6989,1.34554,1.21321,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1190.84,1.77396,1.52443,1.27378,0.3832,0.29479,0.25531,0.13004,1.74506,1.36698,1.22233,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1259.85,1.76472,1.51172,1.26766,0.38883,0.31171,0.27434,0.14305,1.67663,1.32978,1.19551,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1328.84,1.75552,1.49477,1.25987,0.41014,0.30226,0.2708,0.13781,1.72069,1.34168,1.20728,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1398.35,1.74785,1.48506,1.25758,0.41108,0.30777,0.27445,0.14211,1.71579,1.33233,1.20278,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1467.67,1.74459,1.48129,1.2544,0.40125,0.30828,0.27238,0.14403,1.67314,1.33116,1.18618,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1536.82,1.73721,1.46465,1.24565,0.4173,0.31472,0.2818,0.14908,1.64745,1.31476,1.17341,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1605.81,1.73766,1.46634,1.24081,0.39555,0.3187,0.28119,0.1449,1.69918,1.31605,1.19554,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1674.51,1.72993,1.46147,1.23705,0.40437,0.32178,0.28893,0.15554,1.63477,1.30231,1.17053,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1743.66,1.72347,1.44868,1.23238,0.40319,0.3163,0.28143,0.15129,1.65313,1.30681,1.16891,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1812.68,1.72007,1.44132,1.22891,0.4021,0.32696,0.28681,0.15149,1.66242,1.29578,1.17301,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1881.68,1.709,1.42594,1.22643,0.41932,0.32266,0.28928,0.15654,1.61875,1.27967,1.15367,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1950.58,1.71208,1.42799,1.22339,0.40536,0.3237,0.28792,0.15467,1.63077,1.28944,1.15928,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2019.95,1.70604,1.42461,1.22045,0.41484,0.32825,0.29006,0.15061,1.68471,1.28302,1.17838,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2089.46,1.70552,1.41574,1.21701,0.413,0.32287,0.29067,0.15699,1.61468,1.27665,1.15394,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
